drug,protein,proteinname
445154,254065,BRWD3
2519,55108,BSDC1
6917864,683,BST1
5350,683,BST1
2519,9044,BTAF1
445154,22903,BTBD3
65064,284697,BTBD8
65064,689,BTF3
2519,689,BTF3
65064,91408,BTF3L4
445154,694,BTG1
65064,694,BTG1
445154,696,BTN1A1
65064,11119,BTN3A1
65064,11118,BTN3A2
5350,10384,BTN3A3
65064,10384,BTN3A3
2519,699,BUB1
445154,699,BUB1
65064,699,BUB1
5350,699,BUB1
445154,701,BUB1B
2519,701,BUB1B
445154,9184,BUB3
445154,84811,BUD13
2519,84811,BUD13
65064,8896,BUD31
2519,28969,BZW2
445154,80007,C10orf88
445154,399947,C11orf87
445154,160419,C12orf50
445154,60686,C14orf93
65064,56905,C15orf39
2519,56905,C15orf39
445154,283897,C16orf54
2519,64149,C17orf75
445154,83608,C18orf21
2519,126526,C19orf47
65064,56913,C1GALT1
445154,29071,C1GALT1C1
5350,79762,C1orf115
445154,79762,C1orf115
445154,79098,C1orf116
2519,339448,C1orf174
5350,84886,C1orf198
65064,81563,C1orf21
445154,79078,C1orf50
2519,79078,C1orf50
65064,148423,C1orf52
445154,148423,C1orf52
5350,388722,C1orf53
2519,708,C1QBP
445154,10882,C1QL1
5350,10882,C1QL1
5350,114904,C1QTNF6
5350,128977,C22orf39
445154,25966,C2CD2
2519,25966,C2CD2
65064,9854,C2CD2L
2519,9854,C2CD2L
65064,9847,C2CD5
2519,9847,C2CD5
5350,150590,C2orf15
445154,205327,C2orf69
5350,719,C3AR1
445154,285237,C3orf38
445154,79669,C3orf52
445154,375341,C3orf62
5350,722,C4BPA
2519,55286,C4orf19
445154,201725,C4orf46
445154,727,C5
2519,55322,C5orf22
445154,55322,C5orf22
445154,29113,C6orf15
65064,57827,C6orf47
445154,733,C8G
2519,65265,C8orf33
445154,203076,C8orf74
445154,55071,C9orf40
445154,375759,C9orf50
445154,203228,C9orf72
2519,51759,C9orf78
445154,760,CA2
445154,768,CA9
2519,79886,CAAP1
445154,79886,CAAP1
445154,51719,CAB39
5350,81617,CAB39L
2519,23523,CABIN1
2519,91768,CABLES1
445154,9478,CABP1
5350,26256,CABYR
5833,774,CACNA1B
5833,775,CACNA1C
5833,776,CACNA1D
5833,778,CACNA1F
5833,8913,CACNA1G
5833,8912,CACNA1H
5833,8911,CACNA1I
2519,779,CACNA1S
445154,779,CACNA1S
5833,779,CACNA1S
5833,781,CACNA2D1
5833,55799,CACNA2D3
5833,783,CACNB2
5833,784,CACNB3
5833,785,CACNB4
5833,786,CACNG1
445154,786,CACNG1
445154,10369,CACNG2
445154,58509,CACTIN
445154,27101,CACYBP
2519,27101,CACYBP
2519,790,CAD
5350,93664,CADPS2
1548943,796,CALCA
445154,799,CALCR
2519,801,CALM1
445154,805,CALM2
445154,811,CALR
5350,57118,CAMK1D
2519,816,CAMK2B
65064,817,CAMK2D
2519,817,CAMK2D
445154,817,CAMK2D
2519,818,CAMK2G
445154,94032,CAMK2N2
2519,10645,CAMKK2
65064,819,CAMLG
445154,820,CAMP
2519,157922,CAMSAP1
2519,23271,CAMSAP2
445154,23125,CAMTA2
2519,23125,CAMTA2
2519,55832,CAND1
445154,55832,CAND1
65064,55832,CAND1
2519,821,CANX
445154,821,CANX
445154,10486,CAP2
445154,822,CAPG
5350,822,CAPG
2519,823,CAPN1
4091,11132,CAPN10
2519,6650,CAPN15
445154,6650,CAPN15
445154,825,CAPN3
445154,827,CAPN6
5350,826,CAPNS1
445154,4076,CAPRIN1
2519,4076,CAPRIN1
65064,65981,CAPRIN2
445154,79092,CARD14
445154,114769,CARD16
2519,64170,CARD9
2519,23589,CARHSP1
5350,23589,CARHSP1
445154,79587,CARS2
2519,22794,CASC3
65064,22794,CASC3
445154,57524,CASKIN1
445154,57513,CASKIN2
2519,57513,CASKIN2
445154,843,CASP10
445154,100506742,CASP12
2519,835,CASP2
1548943,835,CASP2
445154,835,CASP2
5350,836,CASP3
65064,836,CASP3
5833,836,CASP3
639665,836,CASP3
5281672,836,CASP3
6917864,836,CASP3
6433206,836,CASP3
1548943,836,CASP3
2519,836,CASP3
7054,836,CASP3
119034,836,CASP3
445154,836,CASP3
65064,839,CASP6
1548943,839,CASP6
445154,839,CASP6
639665,840,CASP7
1548943,840,CASP7
5833,840,CASP7
445154,840,CASP7
445154,841,CASP8
5281672,841,CASP8
639665,841,CASP8
65064,841,CASP8
1548943,841,CASP8
2519,841,CASP8
5350,841,CASP8
445154,9994,CASP8AP2
2519,9994,CASP8AP2
639665,842,CASP9
6433206,842,CASP9
5350,842,CASP9
1548943,842,CASP9
2519,842,CASP9
65064,842,CASP9
5281672,842,CASP9
445154,842,CASP9
6917864,842,CASP9
7054,842,CASP9
445154,846,CASR
2519,831,CAST
5350,54897,CASZ1
445154,847,CAT
65064,847,CAT
5281672,847,CAT
6917864,847,CAT
1548943,847,CAT
445154,859,CAV3
445154,863,CBFA2T3
445154,865,CBFB
445154,867,CBL
5350,868,CBLB
2519,868,CBLB
65064,868,CBLB
2519,23624,CBLC
65064,79872,CBLL1
639665,873,CBR1
7054,873,CBR1
445154,873,CBR1
7054,874,CBR3
5350,874,CBR3
445154,875,CBS
2519,875,CBS
65064,8535,CBX4
2519,8535,CBX4
445154,23468,CBX5
445154,23492,CBX7
2519,57332,CBX8
65064,25776,CBY1
65064,200014,CC2D1B
2519,55749,CCAR1
2519,57805,CCAR2
5350,92922,CCDC102A
445154,29903,CCDC106
445154,164592,CCDC116
445154,150275,CCDC117
2519,150275,CCDC117
445154,151903,CCDC12
2519,115098,CCDC124
65064,90693,CCDC126
445154,133957,CCDC127
65064,165055,CCDC138
2519,165055,CCDC138
445154,64770,CCDC14
445154,91050,CCDC149
445154,80071,CCDC15
65064,154467,CCDC167
65064,343099,CCDC18
445154,343099,CCDC18
5350,343099,CCDC18
445154,55088,CCDC186
445154,57003,CCDC47
2519,152137,CCDC50
445154,152137,CCDC50
2519,8030,CCDC6
2519,729440,CCDC61
445154,83446,CCDC70
445154,84318,CCDC77
65064,84318,CCDC77
445154,317762,CCDC85C
2519,317762,CCDC85C
2519,79080,CCDC86
65064,79080,CCDC86
2519,26093,CCDC9
445154,80212,CCDC92
445154,54520,CCDC93
445154,90324,CCDC97
65064,54535,CCHCR1
445154,6346,CCL1
445154,6356,CCL11
445154,6361,CCL17
445154,6347,CCL2
65064,6347,CCL2
5350,6347,CCL2
1548943,6347,CCL2
5350,6364,CCL20
445154,6367,CCL22
445154,10344,CCL26
445154,6351,CCL4
445154,6352,CCL5
2519,83605,CCM2
445154,8900,CCNA1
1548943,890,CCNA2
639665,890,CCNA2
445154,890,CCNA2
5281672,891,CCNB1
5350,891,CCNB1
445154,891,CCNB1
1548943,891,CCNB1
639665,891,CCNB1
2519,891,CCNB1
65064,891,CCNB1
65064,57820,CCNB1IP1
445154,9133,CCNB2
5350,9133,CCNB2
445154,892,CCNC
445154,595,CCND1
5350,595,CCND1
65064,595,CCND1
639665,595,CCND1
1548943,595,CCND1
6433206,595,CCND1
445154,894,CCND2
445154,896,CCND3
